cliente_id,DS_PROD,DS_LIN_REC,CIDADE,DS_CNAE,DS_SEGMENTO,DS_SUBSEGMENTO,FAT_FAIXA_x,MARCA_TOTVS,MODAL_COMERC,PAIS,PERIODICIDADE,SITUACAO_CONTRATO,UF,VL_TOTAL_CONTRATO,DT_ASSINATURA_CONTRATO,CLIENTE_DESDE,QTD_CONTRATACOES_12M,VLR_CONTRATACOES_12M,NR_PROPOSTA,ITEM_PROPOSTA,DT_UPLOAD,HOSPEDAGEM,FAT_FAIXA_y,CD_PROD,QTD,MESES_BONIF,VL_PCT_DESC_TEMP,VL_PCT_DESCONTO,PRC_UNITARIO,VL_DESCONTO_TEMPORARIO,VL_TOTAL,VL_FULL,VL_DESCONTO,MRR_12M,respondedAt,resposta_NPS_x,resposta_unidade,Nota_SupTec_Agilidade,Nota_SupTec_Atendimento,Nota_Comercial,Nota_Custos,Nota_AdmFin_Atendimento,Nota_Software,Nota_Software_Atualizacao,Data da Resposta_x,Nota NPS_x,Nota Agilidade,Nota Conhecimento_x,Nota Custo,Nota Facilidade,Nota Flexibilidade,Data da Resposta_y,Nota NPS_y,Nota Metodologia,Nota Gestao,Nota Conhecimento_y,Nota Qualidade,Nota Comunicacao,Nota Prazos,Data da Resposta,Linha de Produto,Nome do Produto,Nota,ticket,resposta_NPS_y,grupo_NPS,Nota_ConhecimentoAgente,Nota_Solucao,Nota_TempoRetorno,Nota_Facilidade,Nota_Satisfacao,NOME_GRUPO,TIPO_TICKET,STATUS_TICKET,DT_CRIACAO,DT_ATUALIZACAO,BK_TICKET,PRIORIDADE_TICKET
T01502,PROGRESS USER 11 CDU,CDU TOTVS SERIE T,PINDORAMA,"Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao",MANUFATURA,BENS DE CAPITAL,Faixa 07 - De 75 M ate 150 M,PROGRESS,MODALIDADE TRADICIONAL,105,00 - Mensal,ATIVO,SP,"8301,35714443115",2023-05-19,2010-03-18,8.0,"90580,0396706845",AAJVQH,2.0,2024-03-14,ON PREMISES,Faixa 07 - De 75 M ate 150 M,1119017000-9,15.0,0.0,0,0,"26,0849349679421",0,"391,274024519132","355,646333326012",0,875.923,2020-03-17 09:43:00.000,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20750445.0,10.0,promotor,10.0,10.0,10.0,10.0,10.0,AGT CLOUD DATASUL STD,task,closed,2024-04-11,2024-04-15,19862573.0,low
T03062,CDU INTEL FISCAL PACK 5 CTR,CDU TOTVS SERIE T,JOINVILLE,"Fabricacao de compressores para uso industrial, pecas e acessorios",MANUFATURA,BENS DE CAPITAL,Faixa 11 - Acima de 850 M,BACKOFFICE - PARCEIRO,MODALIDADE TRADICIONAL,105,00 - Mensal,TROCADO,SC,"718,859609914279",2014-11-14,1997-08-20,7.0,"139347,610130705",AALVV1,2.0,2024-12-20,ON PREMISES,Faixa 11 - Acima de 850 M,2012104-2,1.0,0.0,0,0,"88,281004726315",0,"88,281004726315","84,3714173741496",0,6048.066,2021-09-22 17:02:00.000,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,3/17/2025 6:06:01 PM,Datasul,,10.0,20723827.0,10.0,promotor,10.0,10.0,10.0,10.0,10.0,Datasul Recursos Humanos,problem,closed,2024-09-20,2024-11-13,21320772.0,normal
T01502,PACK TOTVS INTEL FISCAL 5,SAAS SERIE T,PINDORAMA,"Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao",MANUFATURA,BENS DE CAPITAL,Faixa 07 - De 75 M ate 150 M,BACKOFFICE - PARCEIRO,MODALIDADE ASSINATURA COMPLEMENTAR,105,00 - Mensal,CANCELADO,SP,"810,268284522326",2018-08-30,2010-03-18,8.0,"90580,0396706845",AAKLVV,1.0,2024-06-12,ON PREMISES,Faixa 07 - De 75 M ate 150 M,1113401002-0,100.0,0.0,0,0,"1,52600022455487",0,"152,600022455487","152,600022455487",0,875.923,2022-06-08 19:00:24.000,9.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,22700325.0,8.0,passivo,,,,,,AGT CLOUD DATASUL STD,task,closed,2024-12-10,2024-12-22,22037416.0,low
T01502,CDU FULL TOTVS TRAD,CDU TOTVS SERIE T,PINDORAMA,"Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao",MANUFATURA,BENS DE CAPITAL,Faixa 07 - De 75 M ate 150 M,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,105,00 - Mensal,ATIVO,SP,"27343,1074395868",2024-03-14,2010-03-18,8.0,"90580,0396706845",AAKLOT,2.0,2024-07-29,ON PREMISES,Faixa 07 - De 75 M ate 150 M,5J16017024,5,0.0,0,0,"296,010412704702",0,"1480,05206352351","0,0210192868395988",0,875.923,2020-03-17 09:43:00.000,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18991958.0,10.0,promotor,10.0,10.0,10.0,10.0,10.0,AGT CLOUD DATASUL STD,question,closed,2024-01-15,2024-01-15,19039052.0,normal
T01502,CDU LGT GCH ON-DEMAND 100 TRA,CDU TOTVS SERIE T,PINDORAMA,"Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao",MANUFATURA,BENS DE CAPITAL,Faixa 07 - De 75 M ate 150 M,RH - CORE,MODALIDADE TRADICIONAL,105,00 - Mensal,ATIVO,SP,"3633,81430882984",2024-06-12,2010-03-18,8.0,"90580,0396706845",AALXI9,1.0,2024-12-11,ON PREMISES,Faixa 07 - De 75 M ate 150 M,0113401002-9,100.0,0.0,0,0,"55,8104104165027",0,"5581,04104165027","5100,54014449704",0,875.923,2020-03-17 09:43:00.000,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19509365.0,10.0,promotor,10.0,10.0,10.0,10.0,10.0,AGT CLOUD DATASUL STD,question,closed,2024-01-15,2024-01-15,19039052.0,normal
T01502,SMS TOTVS ESB,SMS FLUIG,PINDORAMA,"Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao",MANUFATURA,BENS DE CAPITAL,Faixa 07 - De 75 M ate 150 M,FLUIG - CORE,MODALIDADE TRADICIONAL,105,00 - Mensal,GRATUITO,SP,"0,0294270015754383",2015-03-17,2010-03-18,8.0,"90580,0396706845",AAKLOT,2.0,2024-07-29,ON PREMISES,Faixa 07 - De 75 M ate 150 M,5J16017024,5.0,0.0,0.0,0,"296,010412704702",0.0,"1480,05206352351","0,0210192868395988",0,875.923,2020-03-17 09:43:00.000,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19509365.0,10.0,promotor,10.0,10.0,10.0,10.0,10.0,AGT CLOUD DATASUL STD,question,closed,2024-01-15,2024-01-15,19039052.0,normal
T02145,ADESAO INTERA GOODDATA P,CDU INFORMACOES EMPRESARIAS,NOVAFRIBURGO,"Fabricacao de artigos de serralheria, exceto esquadrias",MANUFATURA,BENS DE CAPITAL,Faixa 07 - De 75 M ate 150 M,GOODDATA,MODALIDADE ASSINATURA (INTERA),105,00 - Mensal,ATIVO,RJ,"5016,42095856497",2025-03-21,1999-07-26,3.0,"6796,28372185378",AAMR37,3.0,2025-03-21,ON PREMISES,Faixa 07 - De 75 M ate 150 M,7T63369002,2.0,0.0,0,0,"889,927177787038",0,"1779,85435557408","1779,85435557408",0,1635.2352,2019-09-18 09:06:00.000,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20053896.0,8.0,passivo,9.0,9.0,9.0,9.0,7.0,Prime Protheus Faturamento,question,closed,2025-01-27,2025-02-21,22463416.0,high
T01502,CDU LGT GCH ON-DEMAND 100 TRA,CDU TOTVS SERIE T,PINDORAMA,"Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao",MANUFATURA,BENS DE CAPITAL,Faixa 07 - De 75 M ate 150 M,RH - CORE,MODALIDADE TRADICIONAL,105,00 - Mensal,ATIVO,SP,"1490,51966836963",2022-07-13,2010-03-18,8.0,"90580,0396706845",AALXI9,1.0,2024-12-11,ON PREMISES,Faixa 07 - De 75 M ate 150 M,0113401002-9,100.0,0.0,0.0,0,"55,8104104165027",0.0,"5581,04104165027","5100,54014449704",0,875.923,2019-06-06 14:58:00.000,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22469017.0,4.0,detrator,,,,,,AGT CLOUD DATASUL STD,question,closed,2024-08-12,2024-08-19,20946446.0,low
T01502,SMS LGT GCH ON-DEMAND 100 TRA,SMS TOTVS SERIE T,PINDORAMA,"Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao",MANUFATURA,BENS DE CAPITAL,Faixa 07 - De 75 M ate 150 M,RH - CORE,MODALIDADE TRADICIONAL,105,00 - Mensal,ATIVO,SP,"203,046310870524",2025-02-26,2010-03-18,8.0,"90580,0396706845",AAKLOT,2.0,2024-07-29,ON PREMISES,Faixa 07 - De 75 M ate 150 M,5J16017024,5.0,0.0,0,0,"296,010412704702",0,"1480,05206352351","0,0210192868395988",0,875.923,2019-06-06 14:58:00.000,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22700325.0,8.0,passivo,,,,,,AGT CLOUD DATASUL STD,question,closed,2024-08-12,2024-08-19,20946446.0,low
T01502,PROGRESS USER 11 SMS,SMS TOTVS SERIE T,PINDORAMA,"Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao",MANUFATURA,BENS DE CAPITAL,Faixa 07 - De 75 M ate 150 M,PROGRESS,MODALIDADE TRADICIONAL,105,00 - Mensal,GRATUITO,SP,"0,403570307320297",2017-04-20,2010-03-18,8.0,"90580,0396706845",AAKLVV,1.0,2024-06-12,ON PREMISES,Faixa 07 - De 75 M ate 150 M,1113401002-0,100.0,0.0,0,0,"1,52600022455487",0,"152,600022455487","152,600022455487",0,875.923,2020-03-17 09:43:00.000,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18976390.0,10.0,promotor,10.0,10.0,10.0,10.0,10.0,AGT CLOUD DATASUL STD,task,closed,2024-04-11,2024-04-15,19862573.0,low
